x0000,y0000,x0001,y0001
3.965407507,-135.2987428,3.965407507,-103.5092099,
3.966508381,-146.8190121,3.966508381,-113.8413946,
3.967606471,-135.5324089,3.967606471,-99.41246256,
3.968701792,-129.8024388,3.968701792,-96.06030254,
3.969794357,-136.9359438,3.969794357,-102.7306311,
3.970884181,-148.0097981,3.970884181,-122.690322,
3.971971276,-141.6359508,3.971971276,-109.2551064,
3.973055658,-140.7697033,3.973055658,-103.3580907,
3.974137338,-139.2618671,3.974137338,-106.6454584,
3.975216331,-137.2247289,3.975216331,-113.5010075,
3.97629265,-129.9474255,3.97629265,-98.28635487,
3.977366308,-123.5485976,3.977366308,-90.36698753,
3.978437319,-124.6219659,3.978437319,-91.55378059,
3.979505694,-133.7598062,3.979505694,-102.1946721,
3.980571448,-142.3724197,3.980571448,-125.1638337,
3.981634593,-138.0025297,3.981634593,-111.8670661,
3.982695142,-137.3617819,3.982695142,-107.582503,
3.983753107,-141.5643903,3.983753107,-110.5807223,
3.984808501,-148.525741,3.984808501,-113.0792304,
3.985861337,-137.0670507,3.985861337,-102.7809407,
3.986911626,-132.6614647,3.986911626,-98.93347737,
3.987959382,-129.9214898,3.987959382,-102.9974467,
3.989004616,-127.6648755,3.989004616,-104.9404678,
3.99004734,-129.4368038,3.99004734,-104.5968516,
3.991087567,-128.5519459,3.991087567,-102.7399517,
3.992125308,-134.2231845,3.992125308,-108.8993363,
3.993160575,-141.1687481,3.993160575,-111.5341553,
3.994193381,-129.8614738,3.994193381,-100.6243642,
3.995223736,-124.3131892,3.995223736,-93.86026097,
3.996251652,-125.2631311,3.996251652,-95.00583706,
3.997277142,-132.731573,3.997277142,-105.6383085,
3.998300215,-136.653488,3.998300215,-118.5092478,
3.999320884,-133.1945865,3.999320884,-111.6911036,
4.00033916,-133.6460586,4.00033916,-111.0887512,
4.001355054,-138.4440332,4.001355054,-115.7700436,
4.002368577,-141.196635,4.002368577,-119.1926612,
4.003379741,-132.5175011,4.003379741,-102.1353013,
4.004388555,-127.9557845,4.004388555,-97.79220187,
4.005395032,-132.079676,4.005395032,-102.7676111,
4.006399181,-141.8301143,4.006399181,-115.9846881,
4.007401015,-130.1636754,4.007401015,-102.0024323,
4.008400542,-126.4081204,4.008400542,-96.63646934,
4.009397774,-129.0158891,4.009397774,-99.32251979,
4.010392722,-142.0073818,4.010392722,-113.5010637,
4.011385396,-136.9271499,4.011385396,-104.301329,
4.012375805,-126.0254256,4.012375805,-93.90784649,
4.013363962,-125.6405955,4.013363962,-93.99166419,
4.014349875,-134.8285195,4.014349875,-104.0476816,
4.015333554,-142.82945,4.015333554,-117.9062462,
4.016315011,-132.9231727,4.016315011,-107.498981,
4.017294255,-132.415989,4.017294255,-105.4574773,
4.018271296,-138.2301524,4.018271296,-109.3060333,
4.019246144,-134.6549569,4.019246144,-113.528364,
4.020218808,-136.8473576,4.020218808,-108.2839381,
4.021189299,-143.6872166,4.021189299,-104.4779468,
4.022157626,-134.5170381,4.022157626,-105.0712013,
4.023123799,-134.3988149,4.023123799,-107.8591052,
4.024087827,-138.8540964,4.024087827,-109.8201886,
4.02504972,-138.4583472,4.02504972,-107.9886015,
4.026009487,-135.8631384,4.026009487,-109.5662916,
4.026967138,-137.3021365,4.026967138,-113.8723635,
4.027922682,-131.5254798,4.027922682,-99.62255974,
4.028876128,-123.2243667,4.028876128,-90.02906185,
4.029827485,-122.6503477,4.029827485,-89.75318636,
4.030776763,-129.8488486,4.030776763,-98.44663519,
4.031723971,-158.6008069,4.031723971,-115.2433079,
4.032669117,-131.1672898,4.032669117,-99.8121445,
4.03361221,-129.7633831,4.03361221,-97.64896873,
4.034553261,-141.8671628,4.034553261,-104.9327696,
4.035492276,-143.0852149,4.035492276,-122.3198809,
4.036429266,-141.0283667,4.036429266,-111.3941038,
4.037364238,-145.8596638,4.037364238,-105.6354423,
4.038297202,-151.4661008,4.038297202,-108.9744711,
4.039228166,-146.1392408,4.039228166,-125.0204867,
4.040157138,-144.994566,4.040157138,-107.8306774,
4.041084128,-137.2569778,4.041084128,-99.8798078,
4.042009143,-135.9848733,4.042009143,-101.1424005,
4.042932192,-137.3467921,4.042932192,-109.3909647,
4.043853284,-135.7051834,4.043853284,-108.3984857,
4.044772426,-128.7041508,4.044772426,-97.23613506,
4.045689627,-129.6925104,4.045689627,-96.56396951,
4.046604895,-144.7675929,4.046604895,-105.1723205,
4.047518238,-141.1067794,4.047518238,-123.8820316,
4.048429664,-139.4931686,4.048429664,-118.9051464,
4.049339182,-138.5862893,4.049339182,-119.0614608,
4.050246798,-138.206984,4.050246798,-119.1450175,
4.051152522,-138.230272,4.051152522,-115.9883539,
4.052056361,-140.1533161,4.052056361,-107.2891414,
4.052958323,-142.4555812,4.052958323,-103.0740335,
4.053858416,-146.4947671,4.053858416,-106.9360133,
4.054756647,-147.6791892,4.054756647,-117.0968064,
4.055653024,-148.2094546,4.055653024,-117.5705253,
4.056547554,-151.7787621,4.056547554,-116.5080972,
4.057440246,-140.894416,4.057440246,-116.2121901,
4.058331107,-139.3715103,4.058331107,-119.2567466,
4.059220144,-147.0757261,4.059220144,-127.2113421,
4.060107365,-149.3247224,4.060107365,-112.044595,
4.060992777,-140.0877517,4.060992777,-108.7842007,
4.061876388,-140.0661929,4.061876388,-111.7977449,
4.062758204,-143.6373576,4.062758204,-109.7386614,
4.063638234,-128.991193,4.063638234,-97.74439459,
4.064516484,-123.7891146,4.064516484,-93.85976771,
4.065392962,-126.8932842,4.065392962,-98.56954358,
4.066267674,-133.8577268,4.066267674,-109.0026217,
4.067140628,-129.2514345,4.067140628,-100.9244673,
4.068011831,-124.6212948,4.068011831,-94.93034979,
4.068881289,-126.8090662,4.068881289,-97.47715226,
4.069749011,-135.7528366,4.069749011,-108.5000319,
4.070615002,-142.8096297,4.070615002,-109.4573726,
4.07147927,-129.0379454,4.07147927,-98.19777794,
4.072341822,-129.7764277,4.072341822,-98.44772852,
4.073202663,-140.2685652,4.073202663,-108.8666686,
4.074061802,-136.5717068,4.074061802,-110.2995242,
4.074919244,-128.1392372,4.074919244,-98.40515068,
4.075774997,-126.6204184,4.075774997,-96.34921206,
4.076629067,-132.0014115,4.076629067,-103.1460062,
4.077481461,-139.4399235,4.077481461,-120.3720972,
4.078332185,-135.296525,4.078332185,-109.195966,
4.079181246,-129.980064,4.079181246,-103.367172,
4.08002865,-132.3665409,4.08002865,-106.9184105,
4.080874404,-137.7911375,4.080874404,-113.684171,
4.081718514,-131.9569749,4.081718514,-105.1634076,
4.082560987,-126.8990533,4.082560987,-99.50623565,
4.083401828,-127.5101247,4.083401828,-100.7772841,
4.084241045,-136.1452158,4.084241045,-110.4543666,
